iter	Passed	Remaining
658	5800	3001
659	5814	2995
660	5826	2988
661	5839	2981
662	5848	2972
663	5858	2964
664	5866	2955
665	5875	2946
666	5885	2938
667	5895	2930
668	5912	2925
669	5924	2917
670	5933	2909
671	5941	2899
672	5948	2890
673	5961	2883
674	5973	2876
675	5982	2867
676	5994	2860
677	6007	2852
678	6014	2843
679	6024	2834
680	6031	2825
681	6041	2817
682	6053	2809
683	6066	2802
684	6077	2794
685	6085	2785
686	6094	2776
687	6103	2767
688	6112	2758
689	6125	2752
690	6136	2744
691	6146	2735
692	6156	2727
693	6163	2717
694	6172	2708
695	6179	2699
696	6189	2690
697	6195	2680
698	6205	2672
699	6215	2663
700	6222	2654
701	6230	2645
702	6238	2635
703	6244	2625
704	6254	2617
705	6261	2607
706	6271	2598
707	6277	2588
708	6286	2580
709	6295	2571
710	6304	2562
711	6312	2553
712	6320	2544
713	6327	2534
714	6335	2525
715	6342	2515
716	6351	2506
717	6359	2497
718	6367	2488
719	6375	2479
720	6383	2470
721	6391	2460
722	6400	2452
723	6407	2442
724	6415	2433
725	6422	2424
726	6432	2415
727	6439	2405
728	6448	2397
729	6457	2388
730	6469	2380
731	6476	2371
732	6485	2362
733	6494	2353
734	6502	2344
735	6510	2335
736	6519	2326
737	6528	2317
738	6536	2308
739	6545	2299
740	6554	2291
741	6567	2283
742	6579	2275
743	6588	2267
744	6598	2258
745	6608	2249
746	6620	2242
747	6629	2233
748	6637	2224
749	6650	2216
750	6659	2208
751	6668	2199
752	6678	2190
753	6688	2182
754	6697	2173
755	6707	2164
756	6715	2155
757	6725	2147
758	6732	2137
759	6742	2129
760	6750	2120
761	6758	2111
762	6765	2101
763	6775	2092
764	6781	2083
765	6789	2074
766	6796	2064
767	6804	2055
768	6813	2046
769	6820	2037
770	6830	2028
771	6838	2019
772	6846	2010
773	6854	2001
774	6864	1992
775	6873	1984
776	6881	1974
777	6889	1965
778	6896	1956
779	6907	1948
780	6913	1938
781	6922	1929
782	6929	1920
783	6939	1911
784	6946	1902
785	6956	1893
786	6962	1884
787	6973	1876
788	6983	1867
789	6991	1858
790	7000	1849
791	7008	1840
792	7017	1831
793	7025	1822
794	7033	1813
795	7040	1804
796	7049	1795
797	7059	1787
798	7072	1779
799	7081	1770
800	7090	1761
801	7098	1752
802	7107	1743
803	7118	1735
804	7125	1726
805	7135	1717
806	7142	1708
807	7152	1699
808	7158	1690
809	7168	1681
810	7178	1673
811	7188	1664
812	7199	1655
813	7206	1646
814	7218	1638
815	7226	1629
816	7235	1620
817	7245	1612
818	7254	1603
819	7263	1594
820	7271	1585
821	7281	1576
822	7289	1567
823	7299	1559
824	7309	1550
825	7317	1541
826	7324	1532
827	7334	1523
828	7342	1514
829	7353	1506
830	7365	1497
831	7373	1488
832	7382	1480
833	7392	1471
834	7404	1463
835	7414	1454
836	7422	1445
837	7431	1436
838	7440	1427
839	7448	1418
840	7456	1409
841	7464	1400
842	7473	1391
843	7482	1383
844	7494	1374
845	7504	1366
846	7512	1357
847	7520	1347
848	7531	1339
849	7541	1330
850	7554	1322
851	7564	1314
852	7573	1305
853	7580	1295
854	7589	1287
855	7595	1277
856	7603	1268
857	7610	1259
858	7618	1250
859	7631	1242
860	7640	1233
861	7646	1224
862	7655	1215
863	7662	1206
864	7672	1197
865	7678	1188
866	7688	1179
867	7694	1170
868	7703	1161
869	7712	1152
870	7724	1144
871	7736	1135
872	7743	1126
873	7752	1117
874	7759	1108
875	7766	1099
876	7775	1090
877	7784	1081
878	7792	1072
879	7800	1063
880	7807	1054
881	7815	1045
882	7822	1036
883	7831	1027
884	7838	1018
885	7844	1009
886	7854	1000
887	7862	991
888	7874	983
889	7887	974
890	7895	965
891	7906	957
892	7921	949
893	7931	940
894	7941	931
895	7953	923
896	7963	914
897	7975	905
898	7986	897
899	8000	888
900	8013	880
901	8025	871
902	8037	863
903	8046	854
904	8053	845
905	8060	836
906	8067	827
907	8074	818
908	8080	808
909	8087	799
910	8095	790
911	8104	782
912	8114	773
913	8124	764
914	8135	755
915	8144	746
916	8152	737
917	8161	729
918	8169	720
919	8180	711
920	8194	702
921	8208	694
922	8215	685
923	8223	676
924	8232	667
925	8241	658
926	8249	649
927	8258	640
928	8268	631
929	8279	623
930	8288	614
931	8300	605
932	8313	596
933	8327	588
934	8343	579
935	8355	571
936	8365	562
937	8379	553
938	8389	545
939	8401	536
940	8412	527
941	8423	518
942	8431	509
943	8442	500
944	8452	491
945	8462	483
946	8473	474
947	8480	465
948	8489	456
949	8499	447
950	8509	438
951	8517	429
952	8524	420
953	8531	411
954	8543	402
955	8551	393
956	8560	384
